Fenja, exp_proc, generic_detail, mixed, 14, 14.285714285714285
Fenja, exp_proc, generic_detail, poc_between_non_pocs, 17, 23.52941176470588
Fenja, exp_proc, generic_detail, non_poc_between_pocs, 14, 28.57142857142857
Fenja, exp_proc, generic_detail, female_only, 16, 25.0
Fenja, exp_proc, generic_detail, male_only, 20, 20.0
Fenja, exp_proc, generic_detail, female_between_males, 10, 0.0
Fenja, exp_proc, generic_detail, male_between_females, 20, 30.0
Fenja, exp_proc, individual_detail, mixed, 11, 18.181818181818183
Fenja, exp_proc, individual_detail, poc_between_non_pocs, 20, 15.0
Fenja, exp_proc, individual_detail, non_poc_between_pocs, 15, 33.33333333333333
Fenja, exp_proc, individual_detail, female_only, 20, 30.0
Fenja, exp_proc, individual_detail, male_only, 22, 31.818181818181817
Fenja, exp_proc, individual_detail, female_between_males, 13, 15.384615384615385
Fenja, exp_proc, individual_detail, male_between_females, 12, 25.0
Fenja, exp_proc, coarse, mixed, 15, 53.333333333333336
Fenja, exp_proc, coarse, poc_between_non_pocs, 10, 30.0
Fenja, exp_proc, coarse, non_poc_between_pocs, 14, 7.142857142857142
Fenja, exp_proc, coarse, female_only, 15, 53.333333333333336
Fenja, exp_proc, coarse, male_only, 14, 21.428571428571427
Fenja, exp_proc, coarse, female_between_males, 10, 50.0
Fenja, exp_proc, coarse, male_between_females, 10, 20.0
Fenja, exp_proc, complete_identity_coarse, mixed, 16, 25.0
Fenja, exp_proc, complete_identity_coarse, poc_between_non_pocs, 19, 26.31578947368421
Fenja, exp_proc, complete_identity_coarse, non_poc_between_pocs, 15, 6.666666666666667
Fenja, exp_proc, complete_identity_coarse, female_only, 9, 55.55555555555556
Fenja, exp_proc, complete_identity_coarse, male_only, 16, 12.5
Fenja, exp_proc, complete_identity_coarse, female_between_males, 11, 18.181818181818183
Fenja, exp_proc, complete_identity_coarse, male_between_females, 11, 0.0
Fenja, exp_proc, complete_identity_detail, mixed, 19, 26.31578947368421
Fenja, exp_proc, complete_identity_detail, poc_between_non_pocs, 16, 18.75
Fenja, exp_proc, complete_identity_detail, non_poc_between_pocs, 6, 33.33333333333333
Fenja, exp_proc, complete_identity_detail, female_only, 21, 33.33333333333333
Fenja, exp_proc, complete_identity_detail, male_only, 14, 0.0
Fenja, exp_proc, complete_identity_detail, female_between_males, 20, 30.0
Fenja, exp_proc, complete_identity_detail, male_between_females, 22, 27.27272727272727
Fenja, exp_unproc, generic_detail, mixed, 0, 0
Fenja, exp_unproc, generic_detail, poc_between_non_pocs, 0, 0
Fenja, exp_unproc, generic_detail, non_poc_between_pocs, 0, 0
Fenja, exp_unproc, generic_detail, female_only, 0, 0
Fenja, exp_unproc, generic_detail, male_only, 0, 0
Fenja, exp_unproc, generic_detail, female_between_males, 0, 0
Fenja, exp_unproc, generic_detail, male_between_females, 0, 0
Fenja, exp_unproc, individual_detail, mixed, 0, 0
Fenja, exp_unproc, individual_detail, poc_between_non_pocs, 0, 0
Fenja, exp_unproc, individual_detail, non_poc_between_pocs, 0, 0
Fenja, exp_unproc, individual_detail, female_only, 0, 0
Fenja, exp_unproc, individual_detail, male_only, 0, 0
Fenja, exp_unproc, individual_detail, female_between_males, 0, 0
Fenja, exp_unproc, individual_detail, male_between_females, 0, 0
Fenja, exp_unproc, coarse, mixed, 0, 0
Fenja, exp_unproc, coarse, poc_between_non_pocs, 0, 0
Fenja, exp_unproc, coarse, non_poc_between_pocs, 0, 0
Fenja, exp_unproc, coarse, female_only, 0, 0
Fenja, exp_unproc, coarse, male_only, 0, 0
Fenja, exp_unproc, coarse, female_between_males, 0, 0
Fenja, exp_unproc, coarse, male_between_females, 0, 0
Fenja, exp_unproc, complete_identity_coarse, mixed, 0, 0
Fenja, exp_unproc, complete_identity_coarse, poc_between_non_pocs, 0, 0
Fenja, exp_unproc, complete_identity_coarse, non_poc_between_pocs, 0, 0
Fenja, exp_unproc, complete_identity_coarse, female_only, 0, 0
Fenja, exp_unproc, complete_identity_coarse, male_only, 0, 0
Fenja, exp_unproc, complete_identity_coarse, female_between_males, 0, 0
Fenja, exp_unproc, complete_identity_coarse, male_between_females, 0, 0
Fenja, exp_unproc, complete_identity_detail, mixed, 0, 0
Fenja, exp_unproc, complete_identity_detail, poc_between_non_pocs, 0, 0
Fenja, exp_unproc, complete_identity_detail, non_poc_between_pocs, 0, 0
Fenja, exp_unproc, complete_identity_detail, female_only, 0, 0
Fenja, exp_unproc, complete_identity_detail, male_only, 0, 0
Fenja, exp_unproc, complete_identity_detail, female_between_males, 0, 0
Fenja, exp_unproc, complete_identity_detail, male_between_females, 0, 0
Dummy1, exp_proc, generic_detail, mixed, 8, 25.0
Dummy1, exp_proc, generic_detail, poc_between_non_pocs, 5, 40.0
Dummy1, exp_proc, generic_detail, non_poc_between_pocs, 6, 33.33333333333333
Dummy1, exp_proc, generic_detail, female_only, 8, 0.0
Dummy1, exp_proc, generic_detail, male_only, 5, 20.0
Dummy1, exp_proc, generic_detail, female_between_males, 8, 12.5
Dummy1, exp_proc, generic_detail, male_between_females, 6, 16.666666666666664
Dummy1, exp_proc, individual_detail, mixed, 5, 40.0
Dummy1, exp_proc, individual_detail, poc_between_non_pocs, 4, 0.0
Dummy1, exp_proc, individual_detail, non_poc_between_pocs, 5, 40.0
Dummy1, exp_proc, individual_detail, female_only, 5, 0.0
Dummy1, exp_proc, individual_detail, male_only, 6, 16.666666666666664
Dummy1, exp_proc, individual_detail, female_between_males, 8, 37.5
Dummy1, exp_proc, individual_detail, male_between_females, 10, 20.0
Dummy1, exp_proc, coarse, mixed, 2, 50.0
Dummy1, exp_proc, coarse, poc_between_non_pocs, 7, 28.57142857142857
Dummy1, exp_proc, coarse, non_poc_between_pocs, 6, 0.0
Dummy1, exp_proc, coarse, female_only, 6, 16.666666666666664
Dummy1, exp_proc, coarse, male_only, 7, 28.57142857142857
Dummy1, exp_proc, coarse, female_between_males, 4, 0.0
Dummy1, exp_proc, coarse, male_between_females, 7, 42.857142857142854
Dummy1, exp_proc, complete_identity_coarse, mixed, 8, 37.5
Dummy1, exp_proc, complete_identity_coarse, poc_between_non_pocs, 11, 18.181818181818183
Dummy1, exp_proc, complete_identity_coarse, non_poc_between_pocs, 6, 16.666666666666664
Dummy1, exp_proc, complete_identity_coarse, female_only, 4, 25.0
Dummy1, exp_proc, complete_identity_coarse, male_only, 9, 0.0
Dummy1, exp_proc, complete_identity_coarse, female_between_males, 8, 12.5
Dummy1, exp_proc, complete_identity_coarse, male_between_females, 3, 33.33333333333333
Dummy1, exp_proc, complete_identity_detail, mixed, 10, 10.0
Dummy1, exp_proc, complete_identity_detail, poc_between_non_pocs, 4, 50.0
Dummy1, exp_proc, complete_identity_detail, non_poc_between_pocs, 9, 22.22222222222222
Dummy1, exp_proc, complete_identity_detail, female_only, 3, 0.0
Dummy1, exp_proc, complete_identity_detail, male_only, 6, 16.666666666666664
Dummy1, exp_proc, complete_identity_detail, female_between_males, 5, 60.0
Dummy1, exp_proc, complete_identity_detail, male_between_females, 9, 11.11111111111111
Dummy1, exp_unproc, generic_detail, mixed, 0, 0
Dummy1, exp_unproc, generic_detail, poc_between_non_pocs, 0, 0
Dummy1, exp_unproc, generic_detail, non_poc_between_pocs, 0, 0
